name,code
广东省,600101
上海市,600102
江苏省,600103
浙江省,600104
福建省,600105
四川省,600201
湖北省,600202
湖南省,600203
陕西省,600204
云南省,600205
安徽省,600301
广西壮族自治区,600302
新疆维吾尔自治区,600303
重庆市,600304
江西省,600305
甘肃省,600401
贵州省,600402
海南省,600403
宁夏回族自治区,600404
青海省,600405
西藏自治区,600406
北京,609001
天津市,609902
山东省,609903
河南省,609904
辽宁省,609905
河北省,609906
山西省,609907
内蒙古自治区,609908
吉林省,609909
黑龙江省,609910
